id,parent_id,source,question,answer
295,0,original,How does the combine harvester help farmers?,The combine harvester saves the farmers time and labor.
296,0,original,what are cover crops,are plants that are planted to cover the soil rather than for the purpose of being harvested
297,0,original,what is agricultural automation?,refers to autonomous navigation by robots without human intervention.
298,0,original,What farming practice helps prevent soil erosion?,Crop Rotation
299,0,original,name the major categories of Natural fibers.,"cotton, wool, hemp, silk and flax"
300,0,original,Is agriculture a luxury or a matter of national security?,American agriculture is a matter of national security
301,0,original,what is RFID used for?,is a technology that has been used to identify and track livestock animals
302,0,original,what is FDA,Food and Drug Administration
303,0,original,How should the soil be prepared before planting beans?,the soil must be prepared by removing weeds and incorporating organic matter such as compost or manure to improve soil fertility.
304,0,original,Name factors that causes seed dormancy,"mechanical barriers, chemical inhibitors, immature embryos, scarification requirements, and environmental cues"
305,0,original,how many teats or nipples does a cow has?,"four nipples, or teats"
306,0,original,"Is buying organic food better for the environment than buying food
produced conventionally?","Ultimately, environmental sustainability comes down to the farmer, whether they produce goods organically or conventionally."
307,0,original,which year did methane emission decline to 35%,1975
308,0,original,give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
309,0,original,What kind of technology do farmers use in the field to help the environment?,"GPS (global positioning systems) is a common technology used by farmers. With GPS, farmers can track every location on the farm and know what the soil needs at that exact location"
310,0,original,what type of fertilizers can be applied for maize?,"DAP, NPK, and CAN"
311,0,original,Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
312,0,original,what should grapes be harvested?,"when they have reached their full flavor and sugar content, but before they become overripe."
313,0,original,what is rotenone?,Rotenone is a plant extract found in some species within the pea family
314,0,original,what does  nitrogen deficiency causes?,"stunted growth, yellowing leaves, and reduced yield."
315,0,original,how are cover crops used in agroecosystem where water for crop production is in short supply,cover crops can be used as a mulch to conserve water by shading and cooling the soil surface
316,0,original,what are the sustainable approaches to cassava disease management?,breeding disease-resistant varieties and using natural pest control methods.
317,0,original,why do we manage soil quality?,to produce optimum circumstances for crops to flourish
318,0,original,"How is the spread of armyworms facilitated, and why is it challenging to contain their spread?","The spread of armyworms is facilitated by their ability to fly long distances, which makes it difficult to contain their spread. The pest can also survive in crop residues, making it challenging to eradicate them completely"
319,0,original,Which crops are most susceptible to armyworm infestation in Uganda?,"maize, sorghum, millet, and rice"
320,0,original,which countries in United States has fish farms,"California, Idaho, Alabama, Arkansas, Louisiana, Mississippi, and along the southeastern U.S. coast"
321,0,original,which symptoms are evident of Micronutrient deficiencies,"leaf discoloration, reduced growth, and poor reproductive performance"
322,0,original,What is rouging.,"Removal of plants which are diseased or not of the desired type contaminants to purify and
clean the stock,"
323,0,original,what concerns have recently been raised about GMO's?,safety and potential environmental impacts
324,0,original,which type of family do green manure crops belongs to.,leguminous
325,0,original,what is the percentage of moisture content before storage?,13.5% or less
326,0,original,What type of soil is best suited for growing beans?,Beans require well-draining soils with a pH level between 6.0 and 7.5
327,0,original,Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
328,0,original,The deficiency of phosphorus results into?,"poor root development, slow growth, and reduced flowering and fruiting"
329,0,original,what is Thiram,"Thiram is a fungicide that is used to control a variety of seed-borne and soil-borne fungal diseases, such as damping-off, seed rot, and seedling bligh"
330,0,original,which other way can make a cow produces more milk?,by milking the cows regularly�two or three times a day
331,0,original,what is the use of wind mill.,"to saw wood and make typical household items, such as oil, paper, spices, chalk, and pottery."
332,0,original,what is shifting cultivation.,"is a system in which forests are burnt, releasing nutrients to support cultivation of annual and then perennial crops for a period of several years"
333,0,original,which diseases can be spread by whiteflies?,"The whiteflies can spread viruses such as CMD and CBSD, which can cause significant losses for farmers."
334,0,original,The major agricultural products can be broadly grouped into ?,"foods, fibers, fuels, and raw materials (such as rubber)"
335,0,original,which countries do we find african armyworm,"Tanzania, Kenya, Uganda, Ethiopia, Somalia, Malawi, Zimbabwe, Zambia, and South Africa"
336,0,original,why do farmers to use chemicals,"to control weeds and insects and to produce increased amounts of vegetables, milk, or eggs"
337,0,original,Is agriculture a necessary industry?,Agriculture is a necessity!
338,0,original,what are some of the challenges faced by S. exempta.,"predators, parasites, parasitoids, diseases, and viruses"
339,0,original,What are the potential crop losses due to armyworm infestation?,"Its infestation can lead to yield losses of up to 50% and, in some cases, total crop failure"
340,0,original,in which areas are irrigation done.,areas with low rainfall or unreliable water sources.
341,0,original,Farmers are focused on conserving water for several reasons,1) Farmers know water wasted could mean a lack of the resource for future crops. 2) Water is expensive. Water wasted is money lost. 3) Farmers are cultivators. They use precise technology to know exactly how much water a plant needs to grow. Too much could mean poor production. 4) Many farmers rely on Mother Nature for water.
342,0,original,name the types of irrigation.,"flood, furrow, drip, and sprinkler irrigation"
343,0,original,what is RFID in full,Radio frequency identification
344,0,original,Give one example of  natural erosion caused by water.,Grand Canyon
345,0,original,how can i differentiate sprinkler irrigation from drip irrigation.,"Sprinkler irrigation involves spraying water over the field, while drip irrigation involves applying water directly to the root zone of the crop through a system of pipes and emitters"
346,0,original,Do brown cows produce chocolate milk?,No
347,0,original,what is the estimates of the annual work-related death toll among agricultural employees.,"at least 170,000"
348,0,original,what are combine harvesters?,"machines, which are loaded with technology, are very efficient and combine all three jobs of cutting, collecting, and threshing a crop"
349,0,original,what is Food Supply Continuum,The process of getting food from the farm to the table
350,0,original,Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
351,0,original,how do cover crops suppress weeds during growth.,"During growth these cover crops compete vigorously with weeds for available space, light, and nutrients"
352,0,original,what is the approximate Global agricultural production of food.,11 billion tonnes
353,0,original,How do I know when my corn is ready to harvest?,"Corn is typically ready to harvest when the kernels are firm and have reached their full size, and the ears have a mature appearance"
354,0,original,how are plants harvested?,by hand or machine
355,0,original,A large diary cows can eat up of?,150 pounds
356,0,original,what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
357,0,original,what is the size of the armyworms laid eggs.,Their eggs are relatively small at 0.5 mm in diameter
358,0,original,why is soil health vital?,"Soil health is critical to crop growth and productivity, as it provides the necessary nutrients and support for plants to thrive."
359,0,original,When is the ideal time to harvest maize?,"Harvesting is typically done when the kernels are fully developed and hard, and the husks have dried up and turned brown"
360,0,original,do plants have naturally occurring B12?,no
361,0,original,give examples of macronutrients?,"nitrogen, phosphorus, and potassium,"
362,0,original,what are other reasons  why crops are sprayed,"to prevent rats, mice, and insects from contaminating foods while they are being stored"
363,0,original,when do the intensity of outbreak increases.,"during the start of the wet season after a drought, which allows moths to lay eggs in areas of dense vegetation which supports the larval stage growth"
364,0,original,name the various forms in which fertilizers can be applied?,"granular, liquid, and foliar applications."
365,0,original,name some of the common water management practices,"soil moisture monitoring, crop water requirements estimation, crop selection, and crop rotation."
366,0,original,What are the ideal conditions for planting maize?,Maize requires well-draining soils with a pH level between 5.5 and 7.5. The site should also receive full sunlight to promote optimal growth
367,0,original,how do you control Cassava mosaic disease,"planting disease-resistant varieties, using virus-free planting materials, and maintaining good field sanitation, as well as chemical control measures"
368,0,original,what is monoculture.,one cultivar is planted on a large acreage
369,0,original,name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
370,0,original,What are the common pests and diseases that affect maize?,"armyworms, cutworms, and aphids, while diseases such as corn smut and gray leaf spot can also affect the crop"
371,0,original,what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
372,0,original,where do I submit my answer?,Right here
373,0,original,why are fertilizers used in farming?,to improve the growth and quality of crops
374,0,original,why should we have more livestock on the grazzing ground?,their movement and their waste and their relentless chomping stimulate grasses to grow
375,0,original,what is High fructose corn syrup,is a common sweetener in sodas and drinks
376,0,original,how do we define a cover crop biomass.,"a physical barrier between rainfall and the soil surface, allowing raindrops to steadily trickle down through the soil profile"
377,0,original,what is fertilization?,the process of adding nutrients to the soil to improve crop growth and yield
378,0,original,What are windmills used for?,to generate power and grind wheat since ancient times
379,0,original,how many chambers does a cow has,four chambers
380,0,original,what is the use of vitamin B6?,B6 is related to metabolism and immune function as well as brain development during pregnancy
381,0,original,which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies"
382,0,original,what are ponnies?,"Ponies are small breeds of horses that, because of their size, appear much smaller when fully grown than larger breeds of horses"
383,0,original,what are the different methods of irrigation?,"surface irrigation, drip irrigation, and sprinkler irrigation"
384,0,original,Are beef animals consuming grain that could be used to feed humans?,lifetime
385,0,original,what is crop rotation,Crop rotation is the practice of growing a series of different crops in the same area over several seasons
386,0,original,Can I eat healthy without spending a lot of money?,es. Food in the United States is very affordable
387,0,original,excessive tillage can lead to ?,soil erosion and nutrient loss
388,0,original,what is the other name of Couch grass.,Bermuda grass
389,0,original,When was the fall armyworm first detected in Uganda?,2016
390,0,original,how does  Brassicaceae family crops suppress fungal disease.,through the release of naturally occurring toxic chemicals during the degradation of glucosinolate compounds in their plant cell tissues
391,0,original,what causes Cassava mosaic disease,"Cassava mosaic disease (CMD) is caused by several species of single-stranded DNA viruses in the genus Begomovirus, family Geminiviridae."
392,0,original,what are the effects of climate change,"decreased crop yields, increased pest and disease pressure, and other challenges for farmers."
393,0,original,Name the pest control management practices.,"Chemical (pesticides), biological (biocontrol), mechanical (tillage), and cultural practices are used"
394,0,original,what are fertilizers?,Fertilizers are substances that are added to soil to improve the growth and quality of crops
395,0,original,What are genetically modified organisms (GMOs)?,GMOs are defined as �organisms in which the genetic material (DNA) has been altered in a way that does not occur naturally.
396,0,original,Name one breed of a horse,ponies
397,0,original,Does organic farming contribute to less pollution?,Yes
398,0,original,how do the moths migrate?,"migration is based on winds brought by the Intertropical Convergence Zone, which move northwards or southwards depending on the season"
399,0,original,what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development.
400,0,original,what is ratoon crop.,"A sprout or shoot from the root, stem or vine of a plant after it has been cut back"
401,0,original,what is animal welfare?,refers to the conditions in which an animal is raised
402,0,original,what kind of practices are used for crop protection?,"use of pesticides, fungicides, and other chemicals, as well as cultural practices"
403,0,original,What is the recommended dosage of fertilizer for growing strawberries in sandy soil?,"Generally, a balanced fertilizer with an NPK ratio of 10-10-10 is recommended for sandy soil. However, the exact dosage may vary depending on the specific soil conditions and the age of the plants"
